,userId
0,3
1,3740977
2,180638
3,5293615
4,402438
5,18
6,2523323
7,24
8,2698206
9,40
10,3815113
11,134883
12,889163
13,4292087
14,3291810
15,2999027
16,1077015
17,3184791
18,46
19,308280
20,505064
21,47
22,4948604
23,4863834
24,53
25,1648415
26,5231117
27,718206
28,3968113
29,54
30,3211512
31,5293071
32,59
33,60
34,4419948
35,2975953
36,632239
37,2232278
38,5299090
39,3761510
40,1830737
41,5350829
42,4482903
43,4197986
44,1778978
45,2485233
46,3419555
47,4783409
48,2505670
49,4153866
50,3585698
51,5359268
52,1766593
53,4155652
54,5476792
55,4058227
56,4627108
57,3904460
58,5476049
59,74
60,4830821
61,1324899
62,90
63,2238114
64,106
65,3733839
66,4463602
67,2879359
68,3197072
69,797634
70,114
71,1753819
72,2037473
73,4517320
74,128
75,4558404
76,2542589
77,2097297
78,2511197
79,2873364
80,138
81,1353233
82,143
83,2499850
84,4977446
85,2921778
86,3770306
87,1405452
88,1064327
89,3315180
90,5581803
91,4314604
92,3895523
93,2832920
94,5566832
95,4533656
96,2828612
97,308447
98,4799862
99,150
100,4339842
101,1758205
102,1338088
103,1982261
104,584571
105,84427
106,4998249
107,575891
108,2391414
109,4469232
110,1771061
111,185335
112,5058218
113,3002173
114,4214296
115,637234
116,152
117,1094151
118,156
119,1078266
120,170
121,1686371
122,194
123,2878180
124,206
125,1227477
126,211
127,4987964
128,4577755
129,214
130,639977
131,4754667
132,4531661
133,216
134,2065737
135,228
136,2949336
137,249
138,3756431
139,255
140,1193189
141,4589036
142,2619572
143,4960095
144,1881859
145,272
146,2383622
147,2007907
148,5150654
149,5379701
150,4761299
151,1497892
152,3406316
153,1244166
154,2867415
155,743361
156,3144011
157,2254318
158,1873489
159,3012698
160,2344503
161,1769708
162,3714644
163,5038157
164,1378525
165,5395426
166,3107121
167,3567353
168,648072
169,1621740
170,3573087
171,3808830
172,4101726
173,5235805
174,1286203
175,2857416
176,278
177,667645
178,2199268
179,5422411
180,2210363
181,767706
182,725615
183,1922301
184,299
185,464339
186,2120554
187,1218627
188,1468935
189,1931747
190,301
191,438924
192,3769196
193,2733385
194,3663015
195,5392394
196,320
197,233302
198,328
199,340
200,471355
201,986035
202,5447510
203,1474007
204,345
205,626402
206,700333
207,3525772
208,778737
209,4339183
210,2308536
211,353
212,4798601
213,617680
214,5569935
215,5470275
216,1914202
217,356
218,5048140
219,1637139
220,376
221,451885
222,2634280
223,4323888
224,384
225,2783388
226,4642852
227,407
228,1848163
229,1703649
230,605059
231,2368015
232,5383759
233,415
234,823754
235,3897251
236,662176
237,424
238,1637220
239,375073
240,1264503
241,372393
242,2550792
243,4155596
244,3365679
245,124758
246,3156836
247,4057603
248,3626158
249,5052877
250,1027342
251,4152684
252,752242
253,2313166
254,750682
255,4916848
256,2167401
257,1464982
258,4234713
259,1975851
260,2398684
261,5607240
262,5046752
263,2321566
264,1174578
265,5081072
266,2477500
267,681474
268,426
269,1217993
270,430
271,1134854
272,902359
273,4834194
274,2259804
275,3936237
276,433
277,3999473
278,447
279,2202436
280,450
281,3335900
282,2110312
283,4445247
284,10522
285,452
286,3564507
287,463
288,4353958
289,465
290,2086114
291,1760163
292,3249392
293,1314055
294,3893538
295,4873898
296,3308155
297,3452981
298,4885769
299,4136357
300,2234529
301,1439141
302,2601451
303,652383
304,3205387
305,504
306,2016903
307,1450309
308,4254231
309,1346919
310,507
311,2545478
312,508
313,1246690
314,560525
315,2739521
316,2167661
317,510
318,3013094
319,512
320,278667
321,2224526
322,514
323,805770
324,4820652
325,1484693
326,841067
327,3198006
328,520
329,1487765
330,2789544
331,521
332,2381117
333,1299764
334,1303327
335,4810147
336,799131
337,3920231
338,4877545
339,5258431
340,2172268
341,3478502
342,5107884
343,2643302
344,2665327
345,2562131
346,1224729
347,3738621
348,528
349,2976028
350,540
351,5162431
352,548
353,4821258
354,556
355,582649
356,160130
357,5516133
358,2990733
359,1242563
360,557
361,2631862
362,3076469
363,563
364,2632420
365,5599411
366,567
367,3224401
368,571
369,4143823
370,582
371,245766
372,591
373,3491545
374,97326
375,609
376,5168233
377,610
378,4717353
379,2584436
380,3478059
381,614
382,316982
383,622
384,2090253
385,1676511
386,624
387,4145532
388,3123773
389,2112730
390,4546022
391,625
392,5008651
393,2759316
394,461547
395,3795135
396,4002833
397,5125936
398,507353
399,630
400,4871400
401,4432787
402,5554563
403,631
404,4357876
405,644
406,4630531
407,650
408,154104
409,3044490
410,978620
411,4859097
412,321127
413,3639498
414,225608
415,669
416,798942
