,userId
0,1
1,3993630
2,3181660
3,1582548
4,5208994
5,481270
6,1374253
7,4068998
8,2778745
9,3584891
10,2330216
11,1857652
12,1129986
13,4483813
14,4921394
15,644321
16,4966471
17,4242568
18,1035238
19,4419877
20,1837130
21,3215549
22,1228498
23,462751
24,5397591
25,5153081
26,2609785
27,4231085
28,709601
29,2839597
30,2004060
31,2361124
32,365938
33,602291
34,4765464
35,3631130
36,2884453
37,4259962
38,2480094
39,5507908
40,768990
41,1246160
42,803473
43,11673
44,4195799
45,2798036
46,4773415
47,4710580
48,1022665
49,4217938
50,1497826
51,2
52,4130645
53,4761944
54,3243941
55,43673
56,4698581
57,2284637
58,2184507
59,2988528
60,3675718
61,2784548
62,581144
63,2881331
64,4857641
65,3688911
66,2244432
67,4016365
68,4463264
69,2772070
70,1110791
71,84884
72,4632872
73,1258864
74,1791647
75,346441
76,2396298
77,3354866
78,5026418
79,4724676
80,1919975
81,2869535
82,200060
83,4792695
84,1540292
85,3170880
86,5582948
87,1755995
88,3794913
89,4652392
90,1632467
91,4578538
92,1509390
93,2286806
94,442842
95,995402
96,1995585
97,1901434
98,2919725
99,1971390
100,2542253
101,3
102,5293615
103,1245102
104,2395910
105,106180
106,3442827
107,893027
108,4278139
109,180638
110,402438
111,2611699
112,300398
113,3219262
114,4134321
115,4569168
116,811461
117,3740977
118,4798786
119,1905881
120,4
121,3174880
122,1996418
123,4377198
124,3734789
125,3639575
126,1468779
127,3968197
128,5
129,2379940
130,4888847
131,3888801
132,1105111
133,3148757
134,5567617
135,1301621
136,4291145
137,214433
138,3942722
139,5531441
140,8
141,3482151
142,474602
143,2128967
144,2800532
145,1072937
146,3331467
147,390180
148,2009165
149,3841588
150,802831
151,1318019
152,337366
153,5372883
154,3917253
155,4538430
156,396956
157,979812
158,1463715
159,2241587
160,406135
161,3368125
162,4336856
163,4063362
164,5519636
165,1913722
166,2605624
167,1131241
168,1095543
169,2056847
170,2707631
171,5134760
172,9
173,4665191
174,232848
175,1090446
176,5518320
177,1722123
178,3917998
179,3026243
180,10
181,1043040
182,2426571
183,2854322
184,5140528
185,1899268
186,1754423
187,2945670
188,423803
189,4269706
190,895471
191,4888285
192,2295518
193,1353739
194,3367995
195,5459386
196,4028082
197,1903425
198,1338366
199,780721
200,1998509
201,1891142
202,5578191
203,1203558
204,4987597
205,54129
206,4160429
207,4594740
208,5218882
209,4137751
210,254742
211,2237892
212,3229612
213,2256806
214,2288223
215,96292
216,1261189
217,4873199
218,524485
219,3184648
220,4616575
221,1923857
222,2790354
223,4595422
224,2557348
225,1737081
226,401931
227,265270
228,1200095
229,3396912
230,1377534
231,4820300
232,1137320
233,4738349
234,297935
235,319897
236,1138343
237,4989379
238,953312
239,3278449
240,1721891
241,3144564
242,3505069
243,20310
244,3035956
245,5575016
246,4808150
247,2221248
248,5059773
249,1705105
250,438744
251,3238551
252,77604
253,4094326
254,5170688
255,5172573
256,5067304
257,785697
258,3013883
259,4879340
260,3368418
261,2390482
262,3746608
263,4187638
264,897199
265,4660015
266,4059443
267,269254
268,4513984
269,148439
270,5403205
271,5234453
272,3995701
273,1844579
274,5581850
275,3733609
276,2021491
277,3316934
278,1290437
279,3592358
280,2621242
281,3844306
282,5009984
283,2788910
284,3385560
285,5399580
286,577354
287,4249043
288,807451
289,3028541
290,21365
291,2398868
292,2929372
293,1810668
294,3603136
295,746102
296,2560729
297,9340
298,895015
299,5279947
300,3825294
301,497106
302,3737051
303,1168674
304,3817136
305,2352705
306,1003696
307,1341378
308,4716723
309,3312024
310,797716
311,4617569
