,userId,2_pagerank,2_triangle_count,2_core_id,2_color_id,2_component_id,2_component_size,2_out_degree,2_in_degree
4387,5379701,0.164417,0,2,0,654110,982462,0,2
6806,3291810,1.81513,87,10,1,654110,982462,14,74
16792,4517320,1.7752299999999999,87,10,4,654110,982462,27,49
49900,5599411,0.21375,0,1,0,49900,3,0,1
124780,1464982,1.90785,0,10,3,654110,982462,55,66
147955,1771061,1.41204,1,10,1,654110,982462,40,26
148369,1766593,0.645424,0,10,4,654110,982462,0,25
154588,4873898,0.46091800000000005,0,10,0,654110,982462,4,17
158186,2601451,0.361105,0,5,3,654110,982462,2,5
162955,3491545,0.26087,10,10,0,654110,982462,20,10
173610,1264503,8.83646,118,10,9,654110,982462,312,410
178263,902359,0.46133100000000005,0,4,1,654110,982462,0,5
188862,316982,1.19477,0,10,6,654110,982462,264,64
226144,5168233,0.2775,0,1,1,226144,2,0,1
287091,2120554,0.1755,0,1,1,1299235,6,0,1
300635,4353958,0.365533,0,2,1,300635,3,3,1
312287,2234529,0.758115,0,5,2,654110,982462,0,13
323445,1405452,2.0866,13,10,6,654110,982462,70,64
334187,4630531,3.11151,0,10,2,654110,982462,18,40
365220,2037473,1.76918,90,10,2,654110,982462,32,51
377372,376,0.15,0,2,1,654110,982462,3,0
379608,2511197,1.32243,8,10,3,654110,982462,25,58
385282,3738621,0.167517,0,1,0,654110,982462,0,1
394405,321127,0.6241939999999999,6,10,5,654110,982462,28,26
395212,1484693,0.23935,0,5,2,654110,982462,0,5
401356,3756431,0.516904,0,2,0,654110,982462,0,2
419867,3525772,0.580719,7,10,1,654110,982462,20,15
487454,3564507,0.41571800000000003,0,2,1,654110,982462,0,6
497941,3205387,0.18850799999999998,0,2,0,654110,982462,1,1
498470,415,0.593905,0,10,1,654110,982462,23,17
546921,5150654,0.441346,0,10,0,654110,982462,0,18
559526,278667,0.27209099999999997,0,3,0,654110,982462,0,6
569226,4916848,2.23897,27,10,5,654110,982462,135,77
576060,4948604,0.759536,0,10,1,654110,982462,25,7
580423,504,0.31654499999999997,2,10,0,654110,982462,26,7
580516,47,0.6181810000000001,0,10,0,654110,982462,3,15
581320,4799862,0.330928,0,10,0,654110,982462,0,11
632165,2999027,1.36227,64,10,0,654110,982462,24,45
670467,3335900,0.1755,0,1,0,654110,982462,0,1
671549,2976028,8.29481,2,10,3,654110,982462,47,168
702909,3904460,0.15423199999999998,0,1,0,654110,982462,0,1
703273,3897251,0.827968,0,10,2,654110,982462,27,23
703363,3895523,0.331273,0,10,0,654110,982462,0,12
708738,3002173,0.586861,0,3,1,654110,982462,0,3
717552,3197072,2.4904599999999997,49,10,3,654110,982462,74,89
726299,584571,0.776215,8,10,0,654110,982462,30,28
729036,3893538,0.28239200000000003,0,5,0,654110,982462,0,6
746406,3808830,0.171666,0,3,0,654110,982462,0,3
763900,2789544,2.67463,63,10,1,654110,982462,63,82
765888,2990733,0.165954,0,1,1,654110,982462,0,1
785928,5392394,0.37517399999999995,0,7,1,654110,982462,7,3
820125,4531661,0.45822799999999997,0,7,2,654110,982462,3,6
889576,2878180,6.7526,34,10,4,654110,982462,2,110
889987,2873364,0.347179,12,10,1,654110,982462,26,11
892561,605059,1.9590900000000002,0,10,3,654110,982462,38,86
893739,2090253,2.12995,0,5,1,654110,982462,3,2
896056,2065737,30.4182,2799,10,6,654110,982462,1105,5247
903234,3013094,7.24105,0,10,2,654110,982462,25,367
912720,2783388,1.54203,3,10,3,654110,982462,76,56
916467,986035,0.361369,0,10,0,654110,982462,33,10
923798,2828612,0.284246,0,7,1,654110,982462,3,6
926198,1648415,1.63609,0,10,4,654110,982462,45,79
930154,4885769,0.571865,0,5,0,654110,982462,0,10
936100,624,0.785213,0,10,4,654110,982462,18,13
971492,4783409,0.553715,0,10,0,654110,982462,19,34
975253,1078266,0.2775,0,1,1,975253,3,1,1
977437,2550792,0.44286099999999995,0,10,1,654110,982462,5,13
991422,1468935,0.1755,0,1,1,1299235,6,0,1
1024150,4469232,0.422047,5,10,0,654110,982462,18,17
1038033,2097297,2.72038,42,10,2,654110,982462,432,160
1041167,3452981,0.69995,0,5,2,654110,982462,0,12
1057502,1174578,1.5265,103,10,0,654110,982462,86,59
1060759,639977,0.596101,0,10,2,654110,982462,17,12
1145667,1193189,0.220279,0,1,0,654110,982462,1,1
1155780,2832920,2.02908,35,10,6,654110,982462,99,89
1159920,320,0.15,0,1,1,654110,982462,1,0
1167971,2584436,0.198933,0,1,0,654110,982462,0,1
1168482,2921778,2.08787,10,10,3,654110,982462,33,58
1173015,2545478,3.57591,13,10,2,654110,982462,24,79
1176644,2975953,0.231419,0,10,0,654110,982462,0,13
1185511,3211512,1887.85,31186,10,15,654110,982462,8,82066
1188942,5107884,0.694153,0,10,3,654110,982462,46,29
1229769,644,0.379894,0,8,0,654110,982462,7,4
1271452,2238114,4.99371,95,10,3,654110,982462,5,198
1271875,631,0.260792,0,2,0,654110,982462,1,1
1271893,571,1.23441,0,10,0,654110,982462,26,44
1271927,433,0.19753900000000002,0,4,1,654110,982462,2,2
1274493,160130,0.401064,0,10,1,654110,982462,13,11
1282491,648072,0.157209,0,1,0,654110,982462,0,1
1286250,4339842,0.936557,9,10,1,654110,982462,25,48
1294343,2232278,1.59932,25,10,4,654110,982462,31,59
1297889,154104,0.8967719999999999,6,10,1,654110,982462,75,29
1299235,1218627,0.1755,0,1,1,1299235,6,0,1
1351449,1314055,0.399383,0,7,3,654110,982462,4,5
1370448,225608,0.629736,2,10,0,654110,982462,24,21
1385351,407,0.378818,0,10,0,654110,982462,17,5
1403755,4589036,0.220279,0,1,0,654110,982462,0,1
1439414,5581803,1.47089,0,10,3,654110,982462,18,87
1448396,743361,1.15247,6,10,3,654110,982462,96,69
1463326,3740977,2.21644,18,10,7,654110,982462,143,94
1471245,3249392,13.632,14,10,3,654110,982462,78,124
1473094,3224401,0.570314,0,2,1,654110,982462,0,2
1480877,2199268,0.43731099999999995,0,10,1,654110,982462,6,8
1495908,4558404,3.8753699999999998,230,10,6,654110,982462,169,157
1547283,1474007,0.186587,0,2,0,654110,982462,0,2
1554635,4445247,0.1755,0,1,0,654110,982462,0,1
1562743,681474,10.8842,281,10,7,654110,982462,463,333
1564128,667645,0.43731099999999995,0,10,1,654110,982462,3,8
1564690,662176,0.281692,0,10,0,654110,982462,9,6
1567163,637234,0.414113,0,9,0,654110,982462,0,12
1568268,626402,16.465999999999998,689,10,12,654110,982462,546,618
1579700,340,0.15,0,3,1,654110,982462,4,0
1581844,5299090,0.180383,0,6,0,654110,982462,0,6
1588010,4642852,1.06597,7,10,0,654110,982462,12,15
1591199,3585698,0.47863100000000003,0,10,2,654110,982462,0,16
1596475,5038157,0.157209,0,1,0,654110,982462,0,1
1606635,5052877,6.563860000000001,701,10,10,654110,982462,367,259
1613423,124758,6.624460000000001,21,10,6,654110,982462,713,239
1634342,143,1.2605899999999999,0,10,2,654110,982462,39,43
1637819,4754667,0.962968,0,10,4,654110,982462,27,24
1659451,5516133,1.4305,14,10,3,654110,982462,54,50
