,userId
0,0
1,1
2,3
3,3740977
4,180638
5,5293615
6,402438
7,18
8,2523323
9,24
10,2698206
11,40
12,3815113
13,134883
14,889163
15,4292087
16,3291810
17,2999027
18,1077015
19,3184791
20,46
21,308280
22,505064
23,47
24,4948604
25,4863834
26,53
27,1648415
28,5231117
29,718206
30,3968113
31,54
32,3211512
33,5293071
34,59
35,60
36,4419948
37,2975953
38,632239
39,2232278
40,5299090
41,3761510
42,1830737
43,5350829
44,4482903
45,4197986
46,1778978
47,2485233
48,3419555
49,4783409
50,2505670
51,4153866
52,3585698
53,5359268
54,1766593
55,4155652
56,5476792
57,4058227
58,4627108
59,3904460
60,5476049
61,74
62,4830821
63,1324899
64,90
65,2238114
66,106
67,3733839
68,4463602
69,2879359
70,3197072
71,797634
72,114
73,1753819
74,2037473
75,4517320
76,128
77,4558404
78,2542589
79,2097297
80,2511197
81,2873364
82,138
83,1353233
84,143
85,2499850
86,4977446
87,2921778
88,3770306
89,1405452
90,1064327
91,3315180
92,5581803
93,4314604
94,3895523
95,2832920
96,5566832
97,4533656
98,2828612
99,308447
100,4799862
101,150
102,4339842
103,1758205
104,1338088
105,1982261
106,584571
107,84427
108,4998249
109,575891
110,2391414
111,4469232
112,1771061
113,185335
114,5058218
115,3002173
116,4214296
117,637234
118,152
119,1094151
120,156
121,1078266
122,170
123,1686371
124,194
125,2878180
126,206
127,1227477
128,211
129,4987964
130,4577755
131,214
132,639977
133,4754667
134,4531661
135,216
136,2065737
137,228
138,2949336
139,249
140,3756431
141,255
142,1193189
143,4589036
144,2619572
145,4960095
146,1881859
147,272
148,2383622
149,2007907
150,5150654
151,5379701
152,4761299
153,1497892
154,3406316
155,1244166
156,2867415
157,743361
158,3144011
159,2254318
160,1873489
161,3012698
162,2344503
163,1769708
164,3714644
165,5038157
166,1378525
167,5395426
168,3107121
169,3567353
170,648072
171,1621740
172,3573087
173,3808830
174,4101726
175,5235805
176,1286203
177,2857416
178,278
179,667645
180,2199268
181,5422411
182,2210363
183,767706
184,725615
185,1922301
186,299
187,464339
188,2120554
189,1218627
190,1468935
191,1931747
192,301
193,438924
194,3769196
195,2733385
196,3663015
197,5392394
198,320
199,233302
200,328
201,340
202,471355
203,986035
204,5447510
205,1474007
206,345
207,626402
208,700333
209,3525772
210,778737
211,4339183
212,2308536
213,353
214,4798601
215,617680
216,5569935
217,5470275
218,1914202
219,356
220,5048140
221,1637139
222,376
223,451885
224,2634280
225,4323888
226,384
227,2783388
228,4642852
229,407
230,1848163
231,1703649
232,605059
233,2368015
234,5383759
235,415
236,823754
237,3897251
238,662176
239,424
240,1637220
241,375073
242,1264503
243,372393
244,2550792
245,4155596
246,3365679
247,124758
248,3156836
249,4057603
250,3626158
251,5052877
252,1027342
253,4152684
254,752242
255,2313166
256,750682
257,4916848
258,2167401
259,1464982
260,4234713
261,1975851
262,2398684
263,5607240
264,5046752
265,2321566
266,1174578
267,5081072
268,2477500
269,681474
270,426
271,1217993
272,430
273,1134854
274,902359
275,4834194
276,2259804
277,3936237
278,433
279,3999473
280,447
281,2202436
282,450
283,3335900
284,2110312
285,4445247
286,10522
287,452
288,3564507
289,463
290,4353958
291,465
292,2086114
293,1760163
294,3249392
295,1314055
296,3893538
297,4873898
298,3308155
299,3452981
300,4885769
301,4136357
302,2234529
303,1439141
304,2601451
305,652383
306,3205387
307,504
308,2016903
309,1450309
310,4254231
311,1346919
312,507
313,2545478
314,508
315,1246690
316,560525
317,2739521
318,2167661
319,510
320,3013094
321,512
322,278667
323,2224526
324,514
325,805770
326,4820652
327,1484693
328,841067
329,3198006
330,520
331,1487765
332,2789544
333,521
334,2381117
335,1299764
336,1303327
337,4810147
338,799131
339,3920231
340,4877545
341,5258431
342,2172268
343,3478502
344,5107884
345,2643302
346,2665327
347,2562131
348,1224729
349,3738621
350,528
351,2976028
352,540
353,5162431
354,548
355,4821258
356,556
357,582649
358,160130
359,5516133
360,2990733
361,1242563
362,557
363,2631862
364,3076469
365,563
366,2632420
367,5599411
368,567
369,3224401
370,571
371,4143823
372,582
373,245766
374,591
375,3491545
376,97326
377,609
378,5168233
379,610
380,4717353
381,2584436
382,3478059
383,614
384,316982
385,622
386,2090253
387,1676511
388,624
389,4145532
390,3123773
391,2112730
392,4546022
393,625
394,5008651
395,2759316
396,461547
397,3795135
398,4002833
399,5125936
400,507353
401,630
402,4871400
403,4432787
404,5554563
405,631
406,4357876
407,644
408,4630531
409,650
410,154104
411,3044490
412,978620
413,4859097
414,321127
415,3639498
416,225608
417,669
418,798942
